Frage;Option A;Option B;Option C;Option D;Antwort
"Welche Zahl fehlt in ? X 6 = 12?";"1";"3";"2";"4";"2"
"Was ist 6 mal 3?";"17";"19";"20";"18";"18"
"Welche Zahl fehlt in 3 X 6 = ?";"18";"20";"17";"19";"18"
"Welche Zahl fehlt in ? X 10 = 20?";"1";"2";"4";"3";"2"
"Welche Zahl fehlt in ? X 4 = 20?";"4";"6";"5";"7";"5"
"Welche Zahl fehlt in 4 X ? = 4?";"3";"2";"5";"1";"1"
"Welche Zahl fehlt in 7 X 10 = ?";"70";"69";"72";"71";"70"
"Welche Zahl fehlt in 1 X 10 = ?";"9";"11";"10";"12";"10"
"Welche Zahl fehlt in 1 X 2 = ?";"1";"3";"4";"2";"2"
"Welche Zahl fehlt in ? X 2 = 12?";"4";"5";"6";"7";"6"
"Welche Zahl fehlt in ? X 4 = 36?";"9";"7";"10";"8";"9"
"Welche Zahl fehlt in ? X 2 = 16?";"6";"8";"9";"7";"8"
"Welche Zahl fehlt in 8 X ? = 40?";"6";"4";"5";"7";"5"
"Welche Zahl fehlt in ? X 8 = 40?";"6";"7";"5";"4";"5"
"Welche Zahl fehlt in 10 X ? = 10?";"3";"1";"2";"11";"1"
"Welche Zahl fehlt in 6 X ? = 54?";"10";"8";"9";"11";"9"
"Welche Zahl fehlt in 8 X ? = 72?";"10";"9";"8";"11";"9"
"Welche Zahl fehlt in ? X 6 = 48?";"6";"8";"7";"9";"8"
"Was ist 3 mal 9?";"26";"28";"27";"25";"27"
"Welche Zahl fehlt in 6 X 4 = ?";"26";"23";"25";"24";"24"
"Was ist 10 mal 7?";"72";"70";"71";"69";"70"
"Was ist 9 mal 1?";"8";"11";"10";"9";"9"
"Welche Zahl fehlt in ? X 8 = 24?";"4";"3";"5";"2";"3"
"Welche Zahl fehlt in 8 X 8 = ?";"64";"65";"66";"63";"64"
"Was ist 2 mal 3?";"8";"6";"7";"5";"6"
"Welche Zahl fehlt in ? X 2 = 4?";"3";"4";"2";"1";"2"
"Welche Zahl fehlt in 10 X 8 = ?";"81";"82";"80";"79";"80"
"Welche Zahl fehlt in 6 X ? = 6?";"2";"3";"1";"7";"1"
"Welche Zahl fehlt in ? X 2 = 20?";"10";"9";"8";"11";"10"
"Welche Zahl fehlt in 7 X 2 = ?";"13";"16";"15";"14";"14"
"Welche Zahl fehlt in ? X 8 = 56?";"8";"9";"6";"7";"7"
"Was ist 5 mal 1?";"5";"4";"7";"6";"5"
"Welche Zahl fehlt in ? X 10 = 80?";"9";"6";"8";"7";"8"
"Welche Zahl fehlt in ? X 4 = 4?";"1";"2";"3";"5";"1"
"Was ist 9 mal 9?";"80";"81";"83";"82";"81"
"Was ist 1 mal 1?";"1";"3";"2";"4";"1"
"Welche Zahl fehlt in 4 X 8 = ?";"34";"31";"33";"32";"32"
"Was ist 10 mal 3?";"32";"31";"30";"29";"30"
"Welche Zahl fehlt in 7 X ? = 49?";"8";"9";"7";"6";"7"
"Welche Zahl fehlt in 10 X 4 = ?";"40";"42";"41";"39";"40"
"Welche Zahl fehlt in 3 X 2 = ?";"7";"5";"8";"6";"6"
"Was ist 2 mal 7?";"15";"14";"13";"16";"14"
"Welche Zahl fehlt in 8 X 4 = ?";"34";"33";"32";"31";"32"
"Welche Zahl fehlt in ? X 6 = 60?";"11";"8";"9";"10";"10"
"Welche Zahl fehlt in ? X 6 = 36?";"7";"5";"6";"4";"6"
"Was ist 7 mal 1?";"9";"8";"6";"7";"7"
"Was ist 5 mal 9?";"45";"46";"47";"44";"45"
"Welche Zahl fehlt in 5 X 2 = ?";"9";"11";"12";"10";"10"
"Welche Zahl fehlt in ? X 8 = 72?";"7";"10";"8";"9";"9"
"Welche Zahl fehlt in 9 X 2 = ?";"17";"19";"18";"20";"18"
"Welche Zahl fehlt in 6 X 8 = ?";"47";"49";"48";"50";"48"
"Was ist 9 mal 5?";"46";"45";"47";"44";"45"
"Welche Zahl fehlt in 5 X ? = 35?";"6";"9";"7";"8";"7"
"Welche Zahl fehlt in 4 X 4 = ?";"16";"17";"15";"18";"16"
"Was ist 4 mal 3?";"12";"13";"11";"14";"12"
"Welche Zahl fehlt in ? X 10 = 100?";"8";"9";"11";"10";"10"
"Was ist 4 mal 7?";"29";"27";"28";"30";"28"
"Welche Zahl fehlt in 2 X ? = 18?";"11";"9";"8";"10";"9"
"Welche Zahl fehlt in 9 X 6 = ?";"56";"53";"54";"55";"54"
"Welche Zahl fehlt in ? X 8 = 8?";"2";"9";"1";"7";"1"
"Welche Zahl fehlt in 9 X ? = 27?";"4";"2";"3";"5";"3"
"Welche Zahl fehlt in 3 X ? = 21?";"9";"7";"6";"8";"7"
"Welche Zahl fehlt in 5 X 6 = ?";"31";"32";"29";"30";"30"
"Welche Zahl fehlt in 2 X ? = 2?";"1";"2";"3";"4";"1"
"Welche Zahl fehlt in ? X 4 = 12?";"1";"2";"4";"3";"3"
"Was ist 5 mal 5?";"24";"27";"25";"26";"25"
"Welche Zahl fehlt in 1 X ? = 3?";"1";"2";"4";"3";"3"
"Welche Zahl fehlt in 2 X 4 = ?";"8";"6";"9";"7";"8"
"Welche Zahl fehlt in 1 X 6 = ?";"5";"7";"8";"6";"6"
"Welche Zahl fehlt in 9 X 10 = ?";"89";"91";"90";"92";"90"
"Was ist 8 mal 7?";"58";"56";"55";"57";"56"
"Was ist 7 mal 9?";"62";"64";"63";"65";"63"
"Welche Zahl fehlt in 8 X ? = 8?";"3";"2";"1";"9";"1"
"Welche Zahl fehlt in 6 X ? = 30?";"7";"6";"5";"4";"5"
